"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","test_default_pokemon_list_response","tests.pokemon","2026-04-11","passed","2026-04-11","TestPokemonList","test_pokemon_list","",""
"","46","test_pokemon_is_returned_by_id","tests.pokemon","2026-04-11","passed","2026-04-11","TestPokemons","test_pokemon","",""
